date,zec,ltc,eth,btc
11520200,1305.47673,608.67154,334.826172,47.7474129
11520100,4928.07473,1374.54379,934.676389,42.1303874
11520000,7014.78972,3581.30492,3991.63778,116.811848
114202300,1870.10509,736.45726,2287.29802,124.64057
114202200,86.3834308,309.4246,728.276984,41.4083286
114202100,1223.45083,472.128458,1053.84783,69.7501281
114202000,102.694742,929.3428,956.424955,138.54594
114201900,505.489393,1485.92141,3540.78028,58.8022655
114201800,1018.39063,6156.30944,5679.08926,140.350532
114201700,4087.19482,6242.7778,5418.59025,211.592437
114201600,2829.27093,5541.98705,1809.7859,185.492425
114201500,2013.44293,2239.32849,1448.30352,195.779688
114201400,2715.40617,935.556134,4715.09645,210.062564
114201300,1094.02087,668.281916,1033.95714,59.0563665
114201200,1861.68076,995.42127,970.625777,139.254174
114201100,1005.20166,86.3759461,247.389183,54.0563613
114201000,832.047667,76.49335,531.502995,16.9161968
11420900,1907.38729,1536.05022,1136.94941,20.9028205
11420800,1681.66658,1213.23557,204.546102,13.913827
11420700,944.108847,85.32801,834.887079,33.7643056
11420600,716.96689,87.2882,220.44757,63.9073326
11420500,3802.50584,145.50856,877.619897,35.9727351
11420400,2432.66765,1593.56221,1107.5871,176.503434
11420300,1716.26469,7815.40635,1408.48266,143.797452
11420200,2322.4902,852.45297,451.749592,128.641283
11420100,1103.21703,5638.68487,5960.00016,250.300023
11420000,649.878299,1636.95984,1071.62431,128.169667
113202300,608.558169,305.49952,74.8152076,36.5913552
113202200,1.042622,403.28731,88.742972,54.1404445
113202100,1072.82473,173.43366,181.004406,30.5386819
113202000,303.875986,281.76195,92.5982491,66.4478111
113201900,495.6235,83.73768,77.8037493,21.4142703
113201800,2759.11539,445.60991,122.130606,23.0287229
113201700,1163.39857,2276.09399,610.844769,22.5048895
113201600,848.18618,950.71221,615.414446,211.226745
113201500,1143.17682,92.65981,1145.65704,280.113217
113201400,313.322993,530.32249,94.414204,22.8605269
113201300,1743.41532,955.22108,149.232776,6.72972801
113201200,2020.72589,541.31416,323.013792,117.511013
113201100,3423.32191,819.23426,194.293988,89.166831
113201000,563.783758,6001.82147,643.172539,490.954674
11320900,1238.3684,50.57579,18.346124,1.31159719
11320800,1298.07544,36.95093,81.1508274,8.07023147
11320700,591.089754,66.01406,73.502868,6.15730077
11320600,166.661166,210.99753,12.037921,16.1180815
11320500,736.678968,201.07145,103.595344,16.0649928
11320400,81.690111,401.71256,13.225101,13.4352259
11320300,194.132489,677.80583,207.427361,17.5852348
11320200,98.679068,340.989418,324.206412,17.0160653
11320100,299.837394,868.12802,129.326975,37.2495036
11320000,364.499124,483.46851,525.121625,22.0884356
112202300,19.3942068,612.50621,260.790149,24.8948674
112202200,394.56033,878.24413,201.619799,20.2036696
112202100,443.9008,32.48324,181.597158,6.81412547
112202000,144.685949,30.62144,134.08303,4.37566959
112201900,113.592132,167.5396,344.759629,6.93274861
112201800,78.110533,61.90999,110.945278,5.79465938
112201700,83.165048,93.5725765,288.128668,10.4236759
112201600,2886.84732,17.679187,117.961771,17.5438548
112201500,34.416071,333.94026,120.379304,5.4722609
112201400,152.887726,103.49436,306.452622,39.1226397
112201300,143.422453,74.45124,7.31139474,5.98551855
112201200,9.520417,236.35342,0.713002,16.6046826
112201100,98.553064,97.18351,0.068694,4.7870859
112201000,189.024712,128.52859,53.040304,2.70526501
11220900,0.76107665,19.2318715,72.7043598,8.87869012
11220800,61.791945,24.37503,313.318286,9.01889852
11220700,5.816848,266.36246,60.248948,6.0942539
11220600,67.697365,543.23189,493.357939,7.31226462
11220500,29.509835,767.10929,134.867253,3.11175975
11220400,82.5897602,550.24609,40.781472,9.93895136
11220300,656.882649,1390.96581,119.08143,6.24163226
11220200,2701.98766,1703.3336,278.929089,15.5702449
11220100,144.80279,394.01261,159.387706,5.8840738
11220000,194.567556,323.27454,201.801112,31.6224938
111202300,215.612626,524.09897,198.184259,27.8653216
111202200,328.950304,359.8334,101.833123,18.1801898
111202100,427.206819,271.9217,3368.88294,47.6664368
111202000,187.304806,259.432282,94.9351326,13.0534393
111201900,4.603109,454.55385,1833.06434,19.4054894
111201800,780.475779,524.83442,305.877529,31.3425585
111201700,1299.23396,561.282432,690.004231,34.4778233
111201600,858.073067,1940.96629,468.282511,11.7856565
111201500,1320.8492,759.35189,82.3918123,7.89677392
111201400,1246.67,200.77496,462.221832,21.8407412
111201300,421.236473,694.56701,34.858266,4.32776601
111201200,435.66963,28.23269,36.330277,37.1175325
111201100,302.062468,191.05697,222.215767,29.0627585
111201000,144.09606,45.68934,68.252907,11.213454
11120900,877.162521,115.15076,264.066361,12.6150489
11120800,0.28045,77.52686,37.232223,6.8327236
11120700,110.455712,570.43305,28.731941,12.7197504
11120600,235.717158,668.28713,186.490563,14.1091883
11120500,112.875676,248.73691,48.895282,32.26834
11120400,151.806479,242.31167,331.236116,10.7443249
11120300,657.849756,168.507453,158.735293,17.8334035
11120200,812.379817,450.73749,271.492725,33.8376086
11120100,1777.50225,739.378256,511.034102,36.2825303
11120000,170.049939,157.159832,481.278795,51.6014794
110202300,1214.80666,426.892967,283.492984,26.8694374
110202200,67.399625,53.16305,58.8079605,35.1518496
110202100,329.630781,330.61329,421.100834,83.9236912
110202000,768.550279,485.13764,367.893236,50.1852105
110201900,1316.84902,458.77932,785.923086,50.880224
110201800,233.135705,604.651604,1495.70089,42.5099401
110201700,363.700356,658.257397,437.064719,41.9751133
110201600,7238.10093,2716.79563,2218.66504,262.550101
110201500,619.485703,7483.55803,1634.528,119.898673
110201400,771.802509,1181.45972,447.896932,49.7191501
110201300,307.89793,418.05178,136.893247,16.2851702
110201200,45.127082,2482.54577,598.487591,8.85236576
110201100,513.444028,120.63405,219.365201,87.6583363
110201000,90.599371,670.28669,457.277454,12.4743711
11020900,169.543482,543.68137,112.991967,7.74479964
11020800,3.571939,456.304434,103.599903,39.5716969
11020700,83.378368,291.43954,288.67519,47.3917166
11020600,334.169803,15.33731,625.642592,16.7976147
11020500,43.726056,38.048,1448.07172,6.71497564
11020400,590.757277,1.1014,604.315248,7.48970589
11020300,0.63789499,87.61514,483.303225,21.4671751
11020200,4.09569,386.286108,59.8731839,11.416496
11020100,0.129094,11.44473,51.014628,8.08025408
11020000,0,0,0,0
19202300,617.885336,541.256077,463.364085,43.3221076
19202200,42.714124,19.78027,277.73812,26.574877
19202100,585.564205,272.61344,553.652663,63.6601578
19202000,470.857433,614.80539,1680.92657,137.196511
19201900,26.459735,62.89653,997.737452,30.8676272
19201800,3.363077,442.71871,133.662356,41.2313417
19201700,565.414283,334.98327,77.742598,64.2079533
19201600,116.580878,1609.42893,911.22685,96.1313396
19201500,263.979079,205.8697,399.564423,44.948328
19201400,518.12853,35.33174,201.921233,29.1837222
19201300,6.181898,152.16981,273.442338,24.9935908
19201200,101.92077,84.02022,66.528625,14.4379063
19201100,375.292336,6.33069,512.037258,24.0711388
19201000,269.139662,113.36833,455.156989,2.93288196
1920900,86.694924,572.19775,892.861971,27.338077
1920800,20.775,19.1882,179.134391,4.62505903
1920700,9.617864,34.35217,449.894244,10.2224105
1920600,2.003042,165.72073,508.1611,27.0587152
1920500,0.508185,20.80329,86.066867,20.8019478
1920400,517.283503,114.17449,305.160564,66.861618
1920300,239.273578,41.10181,242.522465,18.8459755
1920200,57.683835,96.12728,171.562591,42.9206683
1920100,159.322429,38.90731,86.44358,31.5779473
1920000,0.280696,14.03977,149.921421,57.7841157
18202300,501.280992,78.29955,146.850278,25.9399781
18202200,263.452495,365.42904,208.859138,64.3703848
18202100,703.233459,213.02152,244.101866,47.5140791
18202000,17.3714227,1406.91596,1191.60674,200.086034
18201900,54.821869,338.926645,289.049163,96.7576554
18201800,100.034013,296.66506,89.2439431,78.0230962
18201700,74.0931374,1333.70523,1947.58735,99.7801742
18201600,183.129958,5616.73941,2389.67777,325.77379
18201500,14.883938,483.728273,1267.74458,62.6263197
18201400,293.546251,701.426,1524.88687,52.6656525
18201300,293.900077,747.90644,828.798034,56.1160039
18201200,53.862672,20.2299435,355.598025,15.1373691
18201100,4.173428,33.95703,9.586708,5.1166899
18201000,16.00991,77.48961,370.923083,7.67618214
1820900,211.886357,304.62317,135.376035,28.8286143
1820800,0.186239,96.61904,371.721167,10.1303155
1820700,3.595284,41.56038,184.116346,8.56309786
1820600,23.822285,33.48415,1146.69301,37.2291105
